,0,animate-inanimate,
0,AdultActor,1,
1,Aircraft,0,
2,Airport,0,
3,Album,0,
4,AmericanFootballPlayer,1,
5,Artwork,0,
6,Asteroid,0,
7,Athlete,1,
8,AthleticsPlayer,1,
9,Automobile,0,
10,BasketballPlayer,1,
11,Book,0,
12,Building,0,
13,Cardinal,1,
14,CelestialBody,0,
15,ChemicalCompound,0,
16,ChristianBishop,1,
17,Company,0,?
18,Country,0,?
19,CyclingCompetition,0,
20,Cyclist,1,
21,Decoration,0,
22,Diocese,0,?
23,Disease,0,?
24,Dog,1,
25,EthnicGroup,1,
26,FictionalCharacter,1,
27,Film,0,
28,Game,0,
29,IceHockeyPlayer,1,
30,Island,0,
31,Language,0,
32,MetroStation,0,
33,MilitaryConflict,0,
34,MilitaryPerson,1,
35,MilitaryUnit,1,?
36,Mineral,0,
37,Monarch,1,
38,MotorcycleRider,1,
39,Mountain,0,
40,Museum,0,
41,MusicalArtist,1,
42,MusicGenre,0,
43,Newspaper,0,
44,Politician,1,
45,PopulatedPlace,0,
46,RacingDriver,1,
47,RailwayStation,0,
48,Referee,1,
49,ReligiousBuilding,0,
50,River,0,
51,Road,0,
52,Saint,1,
53,SerialKiller,1,
54,Ship,0,
55,SoccerClub,0,
56,SoccerPlayer,1,
57,Software,0,
58,Song,0,
59,Species,1,
60,Sport,0,
61,SportFacility,0,
62,SportsEvent,0,
63,SportsSeason,0,
64,SportsTeam,1,?
65,Swimmer,1,
66,TelevisionSeason,0,
67,TelevisionShow,0,
68,TennisPlayer,1,
69,TennisTournament,0,
70,University,0,
71,VideoGame,0,
72,VolleyballPlayer,1,
73,Wine,0,
