cluster_ids,ids,response
65,68783,'2'
17,21619,'3'
23,25579,'3'
121,120550,'2'
355,355430,'2'
83,84440,'3'
156,159039,'2'
149,151201,'3'
147,146038,'1'
280,280187,'3'
252,247212,'2'
145,146536,'2'
301,304880,'2'
375,374926,'3'
243,240966,'3'
361,360599,'2'
81,86750,'1'
255,247031,'1'
178,181388,'2'
237,238794,'1'
368,371454,'1'
343,344851,'3'
247,249372,'1'
78,82891,'3'
308,309335,'2'
382,381433,'1'
103,104720,'2'
177,182025,'2'
290,291428,'2'
141,143955,'2'
302,305457,'1'
69,70680,'2'
329,324737,'2'
49,52326,'2'
50,49566,'2'
271,273798,'2'
299,297409,'2'
61,65305,'2'
350,350281,'3'
180,180344,'4'
34,39554,'3'
201,201094,'3'
143,146607,'2'
154,154098,'2'
119,123522,'2'
362,365950,'4'
131,134281,'3'
71,73125,'2'
89,94658,'2'
294,293764,'2'
233,230429,'2'
133,134137,'2'
339,339192,'3'
146,145516,'2'
170,172388,'3'
16,18780,'2'
266,263629,'3'
303,300996,'2'
196,198878,'4'
3,975,'4'
352,349018,'3'
136,139024,'3'
347,342144,'3'
346,347444,'3'
58,54949,'3'
287,282532,'2'
220,216714,'2'
274,272889,'3'
18,23770,'4'
376,374245,'3'
91,93053,'2'
45,49504,'3'
51,49018,'1'
212,214802,'1'
184,189842,'1'
113,117120,'1'
175,174722,'2'
169,170486,'4'
15,22930,'4'
288,285081,'3'
153,152181,'2'
378,373856,'2'
209,205505,'1'
195,195541,'3'
200,199805,'2'
236,237894,'1'
148,148253,'3'
79,78469,'1'
142,141664,'3'
35,41627,'4'
80,80876,'4'
27,35224,'3'
68,66347,'3'
152,151360,'4'
248,246941,'4'
86,89720,'3'
370,371792,'4'
10,6748,'3'
298,296963,'1'
358,354206,'3'
342,343025,'3'
246,243446,'3'
240,239655,'3'
162,164873,'3'
70,70585,'4'
273,273085,'2'
173,169410,'3'
269,269233,'3'
234,231711,'2'
373,373915,'3'
77,80688,'3'
179,184453,'3'
312,308313,'2'
193,197558,'2'
360,358910,'3'
47,48769,'4'
292,288214,'1'
140,143723,'2'
159,157738,'3'
22,29269,'2'
62,60280,'3'
222,220533,'3'
